time,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
26484,-20.17,-94.53,53.46,1.03,-0.17,0.34
26517,-38.32,-52.63,6.43,0.85,-0.14,0.50
26551,72.82,-78.50,65.31,0.96,0.04,0.77
26585,18.31,-119.44,45.20,0.91,-0.43,0.47
26618,-38.08,-77.09,-8.74,1.02,0.05,0.14
26652,39.24,-36.52,25.47,0.93,-0.22,0.36
26686,-26.03,-54.27,9.74,0.98,0.02,0.44
26720,-32.89,-51.58,31.22,1.00,-0.28,0.24
26753,-46.54,-33.86,-1.42,1.05,-0.20,0.26
26786,-43.07,-53.18,-11.67,1.02,-0.13,0.23
26820,-41.54,-27.57,1.50,1.08,-0.23,0.31
26854,-49.62,-58.71,-2.69,1.12,-0.10,0.21
26888,-38.20,-42.17,1.81,1.06,-0.37,0.08
26921,25.86,-38.47,-20.50,1.07,-0.25,0.13
26955,6.84,-43.43,-19.82,0.97,-0.23,0.12
26988,74.98,-28.20,-24.52,1.04,-0.12,-0.11
27022,68.89,-25.92,-8.76,1.00,-0.20,0.30
27056,17.29,-48.31,-13.79,1.05,-0.07,0.05
27089,35.24,-23.28,-4.27,1.03,-0.19,-0.12
27123,13.90,-8.18,-15.85,1.07,-0.19,0.11
27157,39.54,-28.47,-1.41,1.09,-0.16,0.01
27190,11.43,0.50,-44.63,1.00,-0.27,-0.23
27224,141.98,67.26,-21.49,1.34,-0.03,-0.02
27257,43.98,33.63,-15.99,1.06,-0.09,0.36
27291,-84.27,2.95,-25.67,1.09,-0.22,0.17
27325,-202.01,44.15,-67.93,1.12,-0.46,-0.10
27359,-107.31,105.37,-155.44,1.04,-0.34,0.03
27393,28.42,103.05,-209.99,0.85,0.41,-0.17
27426,34.27,250.13,-83.27,0.98,0.84,-0.36
27460,157.58,250.13,7.03,0.61,0.16,0.47
27494,64.14,219.39,-82.61,0.53,-0.08,1.53
27528,-94.38,-11.88,-151.60,0.67,0.18,0.76
27561,1.09,152.67,-93.22,0.86,0.56,-0.35
27594,87.59,250.13,-83.80,0.24,0.49,0.77
27628,99.68,200.95,-78.99,0.26,0.58,1.27
27662,-44.34,127.60,-83.27,0.33,0.52,0.84
27696,-117.53,205.90,-52.73,0.30,0.93,0.67
27729,-136.22,232.60,31.18,0.12,0.30,0.98
27763,-250.14,190.33,-77.06,-0.15,-0.26,1.35
27797,-122.65,172.33,-73.58,-0.06,0.52,1.13
27831,-2.83,138.12,23.92,-0.16,0.34,1.12
27865,14.50,138.74,-24.88,-0.24,-0.33,0.70
27898,10.46,217.11,-64.89,-0.51,0.48,0.96
27932,14.85,170.62,3.08,-0.65,0.15,1.29
27966,54.04,128.86,-36.04,-0.64,-0.09,0.84
28000,-2.18,150.85,-48.29,-0.63,0.34,0.58
28033,-56.39,184.55,-35.15,-0.82,0.16,0.99
28066,-23.50,91.62,-3.92,-0.73,0.26,1.06
28100,-28.69,82.88,-11.99,-0.73,-0.24,0.45
28134,-40.40,143.64,-121.85,-0.87,-0.25,0.29
28168,-131.85,136.78,-77.10,-0.87,0.36,0.53
28201,-196.09,162.08,3.79,-0.89,0.15,0.49
28235,32.42,112.08,83.50,-0.72,-0.63,0.06
28269,-57.89,159.34,-88.52,-0.99,0.01,0.19
28303,-43.16,191.00,34.27,-0.91,0.35,0.23
28337,-22.82,139.74,54.27,-0.93,-0.48,0.17
28370,-10.70,98.32,-28.05,-0.81,-0.21,0.07
28403,-49.42,107.90,-20.53,-0.91,0.27,0.09
28437,-45.88,49.02,50.44,-0.96,0.09,-0.09
28471,-17.75,48.84,77.02,-0.86,-0.18,-0.17
28505,-8.99,43.92,-8.95,-0.92,-0.52,0.00
28538,11.19,-2.55,-50.17,-0.84,0.19,-0.10
28572,7.24,24.54,-3.99,-0.88,0.28,-0.19
28605,-16.30,-10.56,30.97,-0.76,0.19,-0.26
28639,-7.75,17.76,23.38,-0.82,-0.18,-0.10
28673,-3.30,-56.53,-31.59,-0.99,-0.02,0.06
28706,-19.79,-94.47,-6.53,-0.84,0.23,-0.28
28740,-7.63,-49.66,-3.24,-0.90,0.03,-0.09
28774,9.55,-146.20,29.64,-0.82,0.02,0.17
28808,4.51,-128.05,4.49,-0.89,-0.43,-0.41
28840,-10.53,-71.49,-81.19,-1.12,-0.20,0.45
28874,44.25,-167.51,-62.61,-1.06,0.02,0.30
28908,149.91,-212.99,-67.98,-1.27,-0.07,0.96
28942,149.05,-250.14,12.95,-1.08,0.37,-0.33
28976,168.76,-106.18,77.76,-0.94,-0.40,0.12
29009,64.37,-239.36,29.81,-0.85,0.22,0.78
29043,104.82,-126.03,76.81,-0.81,-0.06,0.81
29077,42.92,-250.14,30.34,-0.80,0.70,1.13
29111,16.46,-179.79,132.14,-0.59,-0.14,0.37
29145,-32.25,-250.14,22.51,-0.61,0.44,2.00
29178,-49.57,-250.14,99.47,-0.31,-0.42,0.56
29212,-127.31,-250.14,-110.53,-0.41,0.61,1.43
29246,105.91,-196.99,116.06,0.57,0.61,-0.01
29280,250.13,-202.35,135.73,-0.02,-0.31,2.00
29314,-60.56,-250.14,-2.87,0.21,0.18,0.53
29347,15.98,-219.12,105.74,0.85,0.51,-0.37
29381,108.60,-91.87,158.24,0.87,0.27,0.60
29415,-0.43,-134.75,154.03,0.91,0.14,1.07
29449,-49.34,-198.56,101.79,0.90,-0.07,0.57
29483,-33.71,-162.26,68.58,1.01,-0.17,0.27
29516,-96.50,-109.11,39.45,0.98,0.04,0.57
29549,-102.88,-175.05,50.35,0.92,0.07,0.37
29583,-76.21,-135.56,38.52,1.01,-0.27,0.12
29617,-84.94,-136.12,6.92,1.01,0.01,0.08
29650,-50.92,-123.46,-0.63,0.92,-0.02,-0.27
29684,-38.85,-64.31,26.12,1.07,0.15,-0.08
29718,-65.88,-101.40,15.98,0.98,-0.32,-0.31
29752,25.82,-12.94,-30.22,1.06,-0.12,-0.58
29786,-25.21,-41.47,-14.02,1.04,0.10,0.22
29819,-12.23,-39.98,8.72,1.09,-0.13,-0.52
29852,-7.83,-11.21,-28.11,0.96,-0.10,-0.36
29886,23.85,10.95,-10.76,1.00,0.08,-0.16
29920,-4.11,-18.65,-9.76,1.01,0.07,-0.14
29954,19.02,2.30,-9.93,0.99,-0.08,-0.49
29987,36.50,35.34,-13.52,1.03,0.07,-0.07
30021,20.52,12.04,5.33,0.90,-0.17,-0.56
30054,161.77,175.91,-51.82,0.97,0.15,-1.12
30088,109.53,232.30,-16.17,0.83,-0.30,0.64
30121,28.78,65.71,-82.15,1.00,0.44,0.00
30155,44.59,250.13,28.31,0.96,-0.25,-0.60
30189,166.63,250.13,-116.91,0.79,0.15,0.43
30223,46.34,250.13,3.15,0.85,0.31,0.55
30257,95.61,250.13,-78.18,0.54,-0.43,0.85
30290,24.18,186.40,-130.95,0.69,0.67,1.06
30324,-51.10,168.65,-10.27,0.63,-0.16,0.49
30358,101.21,250.13,-181.75,0.12,0.18,1.14
30392,0.97,165.53,-59.40,0.43,1.00,1.20
30426,-56.50,125.37,-44.41,0.29,0.07,1.10
30459,-25.74,166.25,-82.35,0.07,0.77,1.22
30493,-35.72,126.61,40.94,0.13,0.55,1.02
30526,-67.26,118.21,-12.85,0.02,-0.27,0.99
30560,-17.29,96.22,-63.40,-0.10,0.41,1.36
30594,-6.79,38.21,15.13,-0.10,0.64,1.13
30627,89.60,-16.64,33.44,-0.10,-0.03,1.20
30661,-43.75,3.73,-35.55,-0.06,0.24,0.76
30695,-14.34,11.47,27.52,-0.04,0.48,0.96
30729,-0.08,-9.13,20.45,-0.08,0.20,1.17
30761,2.43,-12.62,-2.91,0.00,0.03,0.79
30795,-4.66,7.85,7.85,0.01,0.56,1.10
30829,-9.07,-51.28,38.82,-0.00,0.28,1.15
30863,-0.15,-25.60,0.14,0.06,0.15,0.85
30896,-26.77,-23.84,-0.91,0.03,0.48,1.20
30929,-49.38,-65.23,30.28,0.04,0.23,1.20
30963,-77.50,-67.31,20.92,0.14,0.08,0.61
30997,-32.56,-4.34,-22.23,0.18,0.39,1.07
31031,51.83,-73.32,65.60,0.24,0.49,1.13
31065,-17.05,-27.76,97.53,0.22,0.20,0.91
31098,-33.53,-21.65,84.92,0.16,-0.20,1.14
31131,-22.00,-52.32,-9.69,0.25,0.01,0.94
31165,-29.92,-40.83,31.38,0.28,0.49,0.90
31199,-34.49,14.56,102.40,0.29,0.36,0.86
31233,22.74,25.25,133.89,0.16,-0.22,1.12
31266,-59.44,-23.47,60.32,0.22,-0.18,1.16
31300,-102.77,9.56,27.11,0.35,0.06,0.74
31334,-2.01,22.37,96.86,0.17,0.15,1.17
31368,-30.72,45.88,72.02,0.27,-0.21,0.92
31400,-72.37,31.32,49.79,0.31,0.11,1.13
31434,-54.37,-3.31,106.11,0.19,0.18,1.63
31468,-97.91,-166.73,155.91,0.10,-0.38,0.53
31502,65.43,86.31,133.27,0.23,-0.51,0.50
31536,61.31,80.33,78.84,0.13,-0.05,1.70
31569,22.13,-106.01,146.12,0.06,-0.05,1.05
31603,-78.80,37.13,103.53,0.25,-0.41,0.66
31637,-47.26,23.98,49.11,0.16,-0.23,1.23
31671,56.40,-39.66,76.25,0.24,-0.05,1.16
31705,-107.23,-40.34,102.65,0.22,0.01,0.99
31738,-44.97,10.55,124.75,0.24,-0.28,0.85
31771,91.63,18.66,127.56,0.14,-0.29,1.26
31805,10.53,-17.94,111.21,0.05,-0.35,1.18
31839,64.57,-14.60,68.66,0.19,-0.21,0.91
31873,-53.59,3.18,78.15,0.17,-0.13,1.02
31906,57.18,9.16,61.73,0.02,-0.44,1.02
31940,-77.31,-2.70,4.31,0.11,-0.20,1.11
31974,81.46,1.62,20.63,0.15,-0.31,0.92
32007,131.95,7.05,3.01,0.13,-0.00,1.04
32040,48.09,6.02,44.16,0.08,0.07,1.03
32074,113.91,2.54,56.73,0.06,-0.12,1.01
32108,71.74,-0.36,65.83,0.11,0.32,1.13
32142,-27.80,-0.63,88.68,0.02,-0.01,0.99
32176,-37.86,7.05,34.20,-0.10,-0.19,1.01
32208,58.23,7.09,12.73,0.08,-0.06,1.11
32242,-37.38,-16.73,14.89,0.01,0.16,1.08
32276,13.98,-8.18,15.61,0.11,-0.19,0.86
32310,-4.37,30.20,-18.34,0.04,0.09,1.15
32344,13.38,-32.62,4.85,0.11,-0.02,1.01
32376,-19.34,13.85,-25.55,0.12,0.03,0.99
32410,-11.15,-9.65,-15.60,0.01,0.12,1.33
32444,-22.37,-50.77,-36.73,0.13,-0.26,1.01
32478,-90.34,12.39,-82.32,0.06,0.07,0.89
32512,-155.13,18.09,-108.79,0.19,-0.17,1.08
32545,-45.95,2.42,-92.27,0.06,-0.21,1.04
32579,-57.74,23.31,-143.26,0.19,-0.15,0.87
32613,-12.05,19.48,-98.67,0.07,0.01,1.54
32647,-43.79,-80.44,-136.66,0.17,-0.35,0.85
32679,147.37,37.59,-125.21,0.10,0.16,0.84
32713,-65.50,-49.52,-135.29,0.00,-0.52,1.37
32747,20.20,-13.76,-204.92,0.38,0.41,0.61
32781,-9.96,-5.38,-51.39,0.28,0.09,1.38
32815,13.97,-19.75,-63.25,0.32,0.08,0.70
32848,-56.67,45.75,-84.73,0.15,-0.53,1.30
32882,-18.55,-37.13,-153.58,0.25,0.04,1.05
32916,-10.50,31.37,-82.60,0.32,-0.07,0.67
32950,-35.65,55.59,-141.81,0.11,-0.69,1.16
32984,-56.02,8.89,-206.99,0.15,0.03,1.04
33016,-30.20,45.66,-118.56,0.24,0.08,0.92
33050,59.17,77.08,-115.82,0.14,-0.31,1.00
33084,2.24,19.41,-135.86,0.12,0.06,1.33
33118,38.38,-5.04,-105.23,0.21,0.05,0.75
33152,-14.53,75.43,-98.89,0.20,-0.08,0.86
33185,5.68,63.32,-133.21,0.06,-0.04,1.19
33219,42.02,28.79,-96.48,0.12,0.30,1.08
33253,60.63,36.50,-45.20,0.10,-0.08,1.15
33286,6.73,19.73,-121.24,0.03,-0.15,0.97
33319,37.91,23.32,-143.74,0.06,0.04,1.22
33353,49.46,-45.37,-164.74,-0.07,-0.30,1.38
33387,-55.60,0.77,-201.18,0.10,0.46,0.28
33421,12.60,110.95,-113.87,0.13,0.13,1.28
33455,71.24,-30.70,-158.45,-0.11,-0.33,1.86
33488,-68.23,-113.56,-248.08,-0.17,0.18,0.58
33522,-112.95,105.43,-129.24,0.22,0.57,0.29
33556,46.80,147.69,-89.15,-0.04,-0.42,1.72
33590,1.07,-27.33,-223.82,-0.10,-0.49,1.34
33624,24.47,13.05,-231.65,-0.03,-0.35,0.90
33657,26.43,-21.42,-250.14,-0.28,0.40,1.33
33691,-55.02,-61.45,-120.32,-0.05,0.28,0.60
33725,-16.99,87.43,-127.54,0.03,-0.39,0.55
33758,84.40,39.52,-151.27,-0.17,0.02,1.61
33792,-46.64,-45.35,-97.95,0.03,0.00,1.03
33825,13.41,-20.16,-126.25,-0.14,-0.07,1.12
33859,9.82,-20.56,-96.80,-0.03,0.14,0.92
33893,32.20,-2.01,-55.12,0.02,-0.11,1.11
33927,6.67,-27.29,-80.10,-0.07,-0.07,0.91
33960,-16.14,-0.44,-64.73,0.01,-0.10,0.90
33993,-12.15,26.36,-60.17,-0.10,0.21,0.97
34027,-33.07,19.16,-6.82,-0.02,-0.11,1.01
34061,-14.85,34.11,-29.76,-0.05,-0.14,1.10
34095,22.57,15.31,4.05,-0.09,0.11,1.24
34128,11.81,-24.53,21.50,-0.05,-0.21,0.99
34162,40.22,14.35,18.82,0.01,0.08,0.77
34196,77.36,16.99,46.40,-0.08,-0.02,1.20
34229,118.39,-8.80,59.36,-0.13,0.19,1.02
34263,170.40,-3.78,115.70,-0.12,0.45,0.94
34296,46.64,20.82,184.69,0.13,0.14,0.91
34330,72.50,25.34,58.53,-0.09,-0.37,1.25
34364,6.61,-34.05,-2.15,-0.13,0.93,1.27
34398,-102.62,-59.99,228.18,-0.06,0.23,0.67
34432,-74.37,9.73,139.88,0.02,-0.26,0.97
34465,-69.72,-15.42,59.09,0.00,0.29,1.28
34499,-67.28,-12.19,81.50,-0.02,0.14,0.92
34532,15.24,-22.91,149.22,0.12,0.18,1.05
34566,-17.24,-64.29,193.10,0.11,0.02,1.04
34599,-75.61,-35.53,181.83,0.18,-0.05,1.18
34633,-41.86,-96.40,150.50,0.17,0.25,1.08
34667,-5.09,-44.70,250.13,0.06,-0.01,1.02
34701,22.24,-58.72,184.03,0.27,-0.48,1.19
34735,213.18,-111.84,218.34,0.17,0.21,0.46
34768,250.13,24.31,250.13,0.35,-0.12,1.01
34802,38.76,-0.76,132.47,0.35,-0.00,1.48
34836,-13.03,-56.69,118.02,0.27,0.17,0.99
34870,-73.21,-35.99,110.61,0.44,0.12,0.99
34904,-24.81,-54.40,182.29,0.40,0.30,1.13
34936,-77.95,-33.57,190.69,0.41,-0.16,0.86
34970,-100.90,-13.47,145.25,0.49,-0.28,0.77
35004,-58.43,39.73,132.84,0.53,-0.32,0.88
35038,2.01,50.27,123.15,0.39,-0.38,0.97
35072,-13.43,23.08,83.89,0.34,-0.28,1.20
35105,8.64,-55.74,129.71,0.26,-0.13,1.15
35139,57.15,-54.07,145.24,0.40,-0.18,0.91
35173,-40.53,-2.94,137.05,0.30,-0.32,0.97
35207,-72.04,-4.93,104.71,0.41,-0.40,0.55
35240,31.85,63.79,130.54,0.29,-0.39,1.16
35273,-38.94,-40.37,123.90,0.06,-0.24,1.24
35307,115.77,-35.56,127.75,0.40,-0.49,0.56
35341,-14.89,51.33,90.21,0.12,-0.50,0.96
35375,61.42,23.48,90.95,0.21,-0.32,0.94
35408,61.02,5.34,115.42,0.17,-0.38,1.05
35442,140.39,-12.81,97.88,0.16,-0.41,0.98
35476,68.39,29.59,49.51,0.21,-0.20,1.00
35510,-66.98,0.86,68.95,0.22,0.12,1.21
35544,3.69,-16.15,94.15,0.16,-0.39,0.94
35576,88.80,16.10,75.21,0.18,-0.16,0.92
35610,69.57,32.06,91.57,0.27,-0.04,1.01
35644,-10.36,38.50,100.95,0.08,-0.14,1.10
35678,26.72,19.71,55.27,0.10,-0.24,0.94
35712,21.96,31.40,76.41,-0.08,0.01,1.22
35745,-16.67,7.92,51.69,0.01,-0.20,0.96
35779,48.41,22.30,61.83,-0.05,-0.04,1.09
35812,137.07,10.72,74.67,-0.08,-0.11,0.98
35846,41.79,21.81,33.43,-0.12,-0.08,1.05
35879,-1.89,12.95,28.25,-0.14,0.10,1.15
35913,-9.69,-22.47,9.12,-0.13,-0.17,1.11
35947,76.94,-8.15,16.71,-0.01,0.09,0.73
35981,-81.42,43.08,-10.67,-0.11,-0.04,1.10
36015,7.04,-12.04,-8.95,-0.16,-0.02,1.06
36047,-84.45,-9.91,-37.84,-0.15,-0.06,1.18
36081,-11.93,-51.08,-70.61,-0.03,-0.12,0.72
36115,-29.05,47.28,-97.68,0.10,0.03,0.84
36149,-71.08,27.18,-81.50,-0.07,0.02,1.26
36183,-101.60,-19.84,-98.29,-0.03,-0.27,1.27
36216,-37.02,-23.59,-111.37,0.04,-0.10,1.05
36250,36.40,-23.68,-101.08,-0.04,-0.18,1.32
36284,74.53,-88.21,-127.60,0.01,-0.28,1.01
36317,-54.52,-26.27,-153.21,0.16,-0.01,0.77
36350,-31.08,-19.26,-148.68,0.18,-0.04,1.13
36384,36.47,-16.76,-92.43,0.15,-0.25,0.50
36418,75.25,92.48,-95.67,0.12,0.03,0.94
36452,20.43,1.62,-71.18,0.05,-0.12,1.38
36486,-174.47,-19.16,-177.34,0.03,-0.50,1.10
36519,-150.81,54.98,-180.92,0.13,-0.13,0.90
36553,-60.34,75.39,-171.76,0.06,-0.25,1.08
36587,46.41,28.95,-84.79,0.13,-0.05,1.21
36621,-189.73,11.58,-60.83,0.09,-0.81,0.97
36655,-8.17,42.98,-218.76,-0.03,-0.69,0.92
36687,64.92,33.02,-186.38,0.15,0.19,0.95
36721,145.12,29.31,-59.88,0.06,-0.61,0.92
36755,70.70,42.11,-207.45,0.03,-0.18,1.05
36789,72.41,2.76,-121.73,0.18,0.19,1.21
36823,170.42,32.89,-61.75,0.11,-0.31,0.60
36856,8.27,62.94,-139.60,0.06,0.05,1.30
36890,12.50,4.33,-138.61,0.02,0.05,1.13
36924,-5.89,30.95,-114.06,0.15,0.05,1.02
36958,-58.55,34.21,-126.08,0.00,-0.38,1.28
36992,-27.70,-14.50,-151.47,0.09,0.01,0.95
37024,-52.70,68.12,-136.17,0.20,-0.51,0.88
37058,148.60,-8.02,-232.31,-0.13,-0.19,1.49
37092,-9.08,-49.15,-167.26,0.19,0.36,0.57
37126,168.54,99.02,-100.10,0.24,-0.27,0.89
37159,-34.35,16.76,-200.57,-0.14,0.10,1.23
37193,-12.64,27.86,-131.00,0.03,0.26,1.29
37227,37.23,-32.82,-156.76,-0.11,-0.38,1.18
37261,-59.51,-50.61,-166.10,0.05,0.47,0.73
37295,-26.92,42.55,-101.83,0.16,-0.06,0.75
37328,51.06,30.23,-138.87,-0.13,-0.05,1.41
37362,-7.19,-40.81,-126.52,-0.03,0.00,0.86
37396,42.56,18.87,-142.86,-0.11,0.26,1.08
37429,15.57,-20.56,-41.76,0.01,0.35,1.05
37463,22.01,18.95,-54.18,-0.01,-0.11,0.91
37496,20.34,6.93,-37.86,-0.01,0.34,1.20
37530,-15.26,-8.65,-8.88,0.04,-0.01,0.84
37564,8.81,24.94,-29.31,-0.03,0.10,1.08
37598,20.09,5.01,10.02,-0.07,0.42,1.09
37630,17.73,-7.57,58.56,-0.07,0.20,0.92
37664,80.04,22.22,101.76,-0.02,0.34,0.88
37698,73.06,29.50,130.35,-0.14,0.42,1.02
37732,48.06,-3.77,188.30,-0.05,0.66,1.00
37766,75.05,11.27,243.14,-0.01,0.13,0.80
37799,65.78,54.11,178.46,-0.02,0.30,0.99
37833,-31.35,11.18,180.11,-0.02,0.79,1.32
37867,-76.61,-36.47,250.13,-0.08,-0.02,0.81
37901,-66.62,48.65,169.50,0.21,0.23,0.93
37934,-125.58,-48.23,239.19,0.03,0.31,1.36
37967,-199.88,-39.18,236.37,0.20,-0.24,0.42
38001,-62.88,44.97,132.88,0.14,-0.27,1.22
38035,88.70,-90.95,173.79,0.09,0.19,1.58
38069,27.19,-53.17,212.64,0.11,-0.19,0.88
38103,-47.14,-5.25,138.05,0.19,0.01,1.07
38136,-92.24,-31.01,184.58,0.13,-0.25,0.94
38170,-1.02,9.81,124.85,0.24,-0.62,0.78
38204,83.01,11.38,78.50,0.30,0.12,1.09
38238,47.05,36.63,133.93,0.31,0.15,1.24
38272,-33.39,-49.22,175.00,-0.01,-0.13,1.18
38304,33.93,-32.69,114.06,0.24,-0.12,0.77
38338,13.03,61.31,158.47,0.29,0.22,1.30
38372,-25.99,-72.22,202.89,0.08,-0.22,1.14
38406,30.84,-25.71,161.40,0.21,-0.12,0.84
38439,83.60,-0.34,200.93,0.10,-0.01,0.83
38473,159.89,72.35,218.75,0.16,-0.16,0.76
38507,-47.50,128.12,126.06,0.13,-0.26,1.02
38541,-152.50,116.82,96.18,-0.09,-0.23,1.28
38575,-17.36,-1.39,54.49,0.00,-0.50,1.33
38608,-71.89,-28.63,11.43,0.10,0.00,0.88
38642,-71.97,15.66,71.44,0.13,-0.03,1.11
38675,-10.81,-68.24,64.11,0.10,-0.12,0.90
38709,114.32,-15.66,130.61,0.12,-0.09,0.89
38743,22.39,31.83,110.27,0.07,-0.27,1.00
